Name,Accuracy,Misclassification Rate,f1_score,Precision,Recall
Gaussian N-Bayes,0.8,0.19999999999999996,0.8056426332288401,0.8056426332288401,0.8056426332288401
Support Vector Machine,0.8,0.19999999999999996,0.8056426332288401,0.8056426332288401,0.8056426332288401
Random Forest,0.8333333333333334,0.16666666666666663,0.8383311603650586,0.8381944444444445,0.8387321490769767
K Nearest Neighbors,0.8444444444444444,0.15555555555555556,0.8493055555555555,0.8494623655913979,0.85022640195054
Decision Tree,0.8,0.19999999999999996,0.8064516129032256,0.8084291187739464,0.8084291187739464
